# GoldenFloat cross-language conformance vectors.
# Shared source of truth: every binding must encode value -> bits identically
# (all wrappers call the same libgoldenfloat C-ABI). Regenerate deliberately.
# columns: rung,value,bits_hex   (bits = raw packed pattern in the carrier)
rung,value,bits
gf8,1.0,0x30
gf8,1.5,0x38
gf8,2.0,0x40
gf8,3.0,0x48
gf8,0.5,0x20
gf8,-1.0,0xb0
gf8,-2.5,0xc4
gf12,1.0,0x380
gf12,1.5,0x3c0
gf12,2.0,0x400
gf12,3.0,0x440
gf12,0.5,0x300
gf12,-1.0,0xb80
gf12,-2.5,0xc20
gf16,1.0,0x3e00
gf16,1.5,0x3f00
gf16,2.0,0x4000
gf16,3.0,0x4100
gf16,0.5,0x3c00
gf16,-1.0,0xbe00
gf16,-2.5,0xc080
gf20,1.0,0x3f000
gf20,1.5,0x3f800
gf20,2.0,0x40000
gf20,3.0,0x40800
gf20,0.5,0x3e000
gf20,-1.0,0xbf000
gf20,-2.5,0xc0400
gf24,1.0,0x3fc000
gf24,1.5,0x3fe000
gf24,2.0,0x400000
gf24,3.0,0x402000
gf24,0.5,0x3f8000
gf24,-1.0,0xbfc000
gf24,-2.5,0xc01000
gf32,1.0,0x3ff80000
gf32,1.5,0x3ffc0000
gf32,2.0,0x40000000
gf32,3.0,0x40040000
gf32,0.5,0x3ff00000
gf32,-1.0,0xbff80000
gf32,-2.5,0xc0020000
gft8,1.0,0xd0
gft8,1.5,0xd8
gft8,2.0,0xe0
gft8,3.0,0xe8
gft8,0.5,0xc0
gft8,-1.0,0x2d0
gft8,-2.5,0x2e4
gft16,1.0,0x5000
gft16,1.5,0x5100
gft16,2.0,0x5200
gft16,3.0,0x5300
gft16,0.5,0x4e00
gft16,-1.0,0x15000
gft16,-2.5,0x15280
gft32,1.0,0x2d8000000
gft32,1.5,0x2d9000000
gft32,2.0,0x2da000000
gft32,3.0,0x2db000000
gft32,0.5,0x2d6000000
gft32,-1.0,0xad8000000
gft32,-2.5,0xada800000
